ticker,mkt,previous_close,open,high,low,close,,change,,,volume
BIFO,Reg,13.76,13.97,13.97,13.61,12.32,-,-0.05,143,207052,"2,836,769.63"
BILF,Reg,102.01,103.9,103.9,101.55,104.3,+,0.99,24,12547,"1,280,550.26"
BIPL,Reg,2.92,2.8,3.19,2.8,2.78,+,0.08,41,41966,"127,397.49"
BIPL-AUG,Reg,21.92,21.97,22.2,21.86,21.63,-,-0.01,139,103257,"2,268,707.63"
BML,FUT,22.27,20.62,22.48,20.62,21.95,+,0.21,8,11500,"246,160.00"
BNL,FUT,21.84,22.49,22.5,21,1.95,+,0.26,19,14500,"316,035.00"
BNWM,Reg,1.95,1.97,1.98,1.87,13.1,-,-0.07,164,376801,"719,898.13"
BOK,FUT,1.92,1.88,1.88,1.86,34.04,-,-0.06,12,31500,"59,100.00"
BOP,Reg,27.7,27.25,27.5,27.25,12.69,-,-0.4,6,7004,"193,184.00"
BOP-AUG,Reg,11.15,11.4,11.4,11.39,5.11,+,0.24,2,1505,"17,156.95"
BPL,Reg,4.84,4.83,4.88,4.77,5.21,-,-0.06,694,3169070,"15,208,042.87"
BRRG,FUT,4.97,4.88,4.9,4.86,32.3,-,-0.11,29,898000,"4,423,255.00"
BTL,FUT,4.85,4.81,4.9,4.75,14.19,-,-0.06,97,1186500,"5,730,805.00"
BUXL,Reg,24.75,0,0,0,240.05,#ERROR!,0,2,10000,"253,550.00"
BWCL,Reg,14.4,14.98,14.98,14.98,192.91,+,0.58,2,101000,"1,458,980.00"
BWHL,Reg,219.46,222,223,222,237.99,+,2.54,7,19,"4,223.99"
CASH,Reg,136.08,134.02,135,129,103.62,-,-6.07,40,1680,"223,468.70"
CCM,Reg,92.1,100.3,100.3,100.3,25,+,8.2,1,2,200.6
CENI,Reg,25,26.99,26.99,24.03,94.64,-,-0.5,16,10600,"257,583.98"
CEPB,Reg,30.27,30.25,30.43,30,24.98,+,0.13,53,49761,"1,501,819.69"
CEPB-AUG,Reg,71.19,75,75,65.01,29.8,+,0.81,7,773,51465.7
CHAS,Reg,3.69,3.84,3.84,3.5,30.19,-,-0.04,52,100440,"365,859.24"
CHBL,Reg,160.45,161.8,162.6,161,50.56,+,1.05,54,2639,"426,645.43"
CHCC,FUT,162,163.55,163.55,163.48,3.83,+,1.48,12,20500,"3,352,670.00"
CLCPS,FUT,162,158,161,158,164.02,-,-1,12,20500,"3,297,500.00"
CLOUD,Reg,2.63,2.4,2.66,2.4,1.86,+,0.03,14,4506,"11,909.25"
CLOV,Reg,1.74,1.71,1.89,1.52,144.34,+,0.05,35,158526,"285,092.44"
CLVL,Reg,49.62,49.95,49.95,48,46.21,-,-0.92,139,51470,"2,515,315.67"
CNERGY,Reg,6.45,6.8,6.8,6.4,14.22,+,0.15,10,865,"5,541.99"
