ticker,mkt,previous_close,open,high,low,close,,change,,,volume
KOSM-SEP,Reg,297.03,306.9,306.9,295,9.31,+,4.86,18,627,"185,721.37"
KSBP,Reg,244,248,248,241.01,9.84,#ERROR!,0,40,1585,"385,519.23"
KSE-100,FUT,247.14,250,250,250,116.4,+,2.86,2,1000,"250,000.00"
KSE-30,Reg,40.86,41,41.1,40.9,78105.95,+,0.14,40,24960,"1,023,545.95"
KSE-ALL,Reg,5.6,5.55,5.74,5.51,25045.21,+,0.14,10,13208,72986.54
KSE-MI30,Reg,4.24,4.25,4.29,4.18,50092.96,-,-0.06,390,1598235,"6,765,107.79"
KSE-MIALL,FUT,4.33,4.45,4.45,4.26,124664.17,-,-0.07,435,1702000,"7,331,135.00"
KSTM,FUT,4.26,4.24,4.3,4.16,35159.86,-,-0.06,381,1316000,"5,583,930.00"
KTML,Reg,112.35,115.45,115.45,108,5.53,+,0.63,103,29713,"3,293,169.24"
LCI,Reg,3.36,4.25,4.25,2.51,76.89,-,-0.85,17,22360,"74,719.83"
LEUL,Reg,89,89.99,89.99,89.99,910.06,+,0.99,1,37,"3,329.63"
LMSM,Reg,913.46,915,915,915,15.47,+,1.54,3,1001,"919,670.00"
LOADS,Reg,12.94,14.1,14.1,13.02,27.95,+,1.16,17,3601,"50,126.10"
LOTCHEM,Reg,9.65,9.65,9.65,9.34,11.21,-,-0.15,44,66667,"634,575.39"
LOTCHEM-AUG,Reg,18.12,18.2,18.45,17.1,17.34,-,-0.57,1758,11135593,"193,502,473.32"
LPGL,FUT,18.15,18.23,18.23,17.4,17.4,-,-0.47,181,620500,"11,026,210.00"
LPL,FUT,17.9,17.95,18,17.05,362.66,-,-0.52,295,4142000,"71,650,335.00"
LPL-AUG,Reg,40.41,44.05,44.05,38.01,21.25,-,-0.41,398,231011,"9,618,134.39"
LSECL,Reg,25.8,25.98,26.06,25.62,21.5,+,0.14,417,434458,"11,246,493.99"
LSEFSL,FUT,26.31,26.3,26.6,26.1,3,+,0.2,19,16000,"420,610.00"
LSEVL,FUT,25.83,25.9,26.49,25.61,4.01,+,0.17,40,37000,"960,910.00"
LUCK,Reg,3.08,3.14,3.55,3.1,5.4,+,0.29,121,212989,"724,514.57"
LUCK-AUG,Reg,3.57,3.74,4.5,3.7,848.1,+,0.13,28,16727,"64,834.17"
MACFL,Reg,5.8,5.96,5.96,5.96,860,+,0.16,1,25,149
MACTER,Reg,904.39,904.4,913.45,904.4,20.74,+,5.61,375,60586,"55,178,596.22"
MARI,FUT,918.2,919.27,926,919.27,108.91,+,7.8,11,6000,"5,540,470.00"
MCB,FUT,906.33,911,913.99,910,3410.18,+,5.67,21,12000,"10,951,495.00"
MCB-AUG,Reg,18.01,18.2,18.2,18.2,231.25,+,0.19,1,50,910
MCB-AUGB,Reg,2651.01,2650,2699.99,2649.99,230.31,+,21.99,331,13503,"36,157,998.74"
MCBIM,Reg,240.89,240.89,244.99,240.89,223.99,+,2.1,481,285248,"69,199,668.87"
MDTL,Reg,33.5,33.5,33.5,33.5,39,#ERROR!,0,4,9,301.5
MEBL,Reg,1.66,1.75,1.75,1.65,1.62,-,-0.01,20,45040,74598.5
MEBL-AUG,Reg,240.23,240.5,242.7,238.5,241.57,+,0.67,988,462762,"111,348,384.56"
MEBL-AUGB,FUT,242.5,235.52,249.44,235.5,241,+,5.52,11,7000,"1,703,155.00"
MEBL-SEPB,FUT,240,241,243.39,241,237.21,+,3.39,3,2000,"484,195.00"
MERIT,Reg,498.95,455.55,543,455.55,242,+,36.05,4,13,"6,955.54"
MFFL,Reg,12.88,13.49,13.69,12.9,11.9,+,0.31,113,629160,"8,215,398.10"
MFL,Reg,12.4,12.81,12.81,12.4,174.16,+,0.19,34,45771,"573,931.41"
MIIETF,Reg,136.36,138,138,134.1,27.6,-,-1.86,73,16299,"2,201,715.56"
MIRKS,Reg,28.34,28.7,29.2,28.5,10.73,+,0.16,225,291829,"8,443,271.29"
MLCF,Reg,11.14,10.95,10.97,10.9,28.55,-,-0.2,38,84000,918260
MLCF-AUG,Reg,32.87,32.77,32.8,32.5,32.35,-,-0.37,39,36738,"1,195,134.66"
MQTM,Reg,37.88,38,38.25,37.72,32.79,+,0.07,238,644793,"24,404,600.78"
MRNS,FUT,38.47,38.62,38.7,38.5,31.68,+,0.06,41,245000,"9,457,305.00"
MSCL,FUT,37.97,38,38.35,37.56,45,+,0.03,76,725000,"27,625,700.00"
MTL,Reg,32,32,32,32,12.56,#ERROR!,0,2,500,"16,000.00"
MTL-AUG,Reg,54,54,54,54,587.33,#ERROR!,0,6,3790,"204,660.00"
MUGHAL,Reg,638.42,641.8,642,636.8,615,-,-1.42,186,9920,"6,339,517.45"
MUGHAL-AUG,FUT,651.87,0,0,0,78.83,#ERROR!,0,4,10000,"6,425,000.00"
MUREB,FUT,639.72,0,0,0,79.11,#ERROR!,0,4,10000,"6,330,000.00"
MWMP,Reg,92.68,92.5,93.5,90.6,550.02,-,-1.93,486,379593,"34,996,859.62"
MZNPETF,FUT,93.6,94.01,94.01,92.7,15.77,-,-0.9,29,26000,"2,426,190.00"
NAGC,FUT,92.98,93,93.5,91.05,13.34,-,-1.93,30,21500,"1,982,665.00"
NATF,Reg,434.44,431,445,430,48.18,+,2.56,15,13243,"5,814,064.99"
NBP,Reg,14.18,14.9,15.46,14.74,194.97,+,1.28,126,178334,"2,735,231.91"
NBP-AUG,Reg,14.63,15.55,15.8,14.75,44.89,+,0.38,76,595500,"9,129,320.00"
NCL,Reg,172.04,174,174,170.15,45.97,+,0.94,50,2448,"421,256.08"
NCL-AUG,Reg,37.49,37.44,37.75,36.83,24.76,-,-0.39,463,1578873,"58,669,735.24"
NCML,Reg,17.73,17.82,17.82,17.82,25.4,+,0.09,2,1000,"17,770.00"
NCPL,FUT,37.53,38,38.1,37.57,7.53,+,0.04,50,60000,"2,270,535.00"
NCPL-AUG,FUT,37.63,37.5,37.75,37,28.03,-,-0.54,103,324000,"12,028,270.00"
NESTLE,Reg,27.3,27.11,27.5,26.75,28.5,-,-0.5,189,373232,"10,071,855.80"
NETSOL,FUT,27.3,26.95,26.95,26.9,6800,-,-0.4,22,20000,"538,050.00"
NETSOL-AUG,Reg,7.41,7.49,7.82,7.49,133.95,+,0.24,34,59846,"457,573.24"
NEXT,Reg,30.04,30,31,29.92,135.25,+,0.76,683,2606314,"79,255,849.97"
NICL,FUT,30.7,30.74,31.35,30.74,5.4,+,0.65,5,4000,124185
NML,FUT,30.26,30.05,31.2,30.05,115,+,0.94,26,45500,"1,389,235.00"
NML-AUG,Reg,7156.35,7025,7060,6610,65.42,-,-457.35,117,1122,"7,536,257.09"
NONS,Reg,140.96,142,143.25,141.13,66.09,+,1.19,1432,931566,"132,700,982.68"
NPL,FUT,143.58,144.8,145.25,143.01,70.03,+,0.67,422,439500,"63,509,960.00"
NPL-AUG,FUT,141.51,141.56,143.5,141.11,35.69,+,0.99,531,495000,70584770
NRL,Reg,4.92,4.56,4.9,4.56,36,-,-0.02,5,55502,"270,489.75"
NRL-AUG,Reg,118.9,113.51,113.51,113.51,237.52,-,-5.39,1,15,"1,702.65"
NRSL,Reg,69.97,70.75,70.75,70,238.53,+,0.04,174,79561,"5,598,263.21"
NSRM,FUT,71.06,71.41,71.41,71.15,22.76,+,0.09,3,3500,"249,645.00"
OBOY,FUT,70.09,70.5,70.6,70.25,27.5,+,0.16,28,28500,"2,009,775.00"
OCTOPUS,Reg,102.67,100,100,99,6.56,-,-3.67,2,100,"9,901.00"
OCTOPUS-AUG,Reg,40.73,40.5,42.49,40.5,117.04,+,1.22,293,294685,"12,292,431.42"
OGDC,FUT,38.21,41.35,41.44,41.35,118.02,+,3.23,2,2000,82790
OGDC-AUG,FUT,37.14,40.45,40.45,40.45,132.26,+,3.31,1,500,"20,225.00"
OLPL,Reg,275.09,276.75,278.7,271.5,133.61,-,-3.59,529,179130,"49,330,188.15"
OLPM,FUT,280,281.17,282,275.87,28,-,-4.13,146,224500,"62,935,165.00"
OML,FUT,275.92,275.5,278.8,272,14.8,-,-3.72,152,222000,"61,360,200.00"
OTSU,Reg,19.5,19.89,20.04,19.6,27,+,0.1,39,69293,"1,382,088.71"
P01GIS090525,Reg,5.95,5.92,5.93,5.9,126.25,-,-0.04,10,6001,"35,490.91"
P01GIS091224,Reg,82.21,83.5,89.61,82.7,88.82,+,4.77,2673,3997106,"350,892,693.01"
P01GIS140325,Reg,129.05,129,129.25,127.27,94.88,-,-1.25,2480,3182960,"407,542,314.79"
P01GIS230525,FUT,131.38,131.1,131.31,129.1,90.78,-,-1.58,442,875000,"113,810,230.00"
P01GIS250425,FUT,129.56,129.2,129.2,127.7,88.21,-,-1.36,404,842000,"108,014,470.00"
P01GIS250725,Reg,27.99,27.9,28,27.9,89.1,#ERROR!,0,4,11000,"307,790.00"
PABC,Reg,13.85,13.88,13.95,13.88,86.72,+,0.1,7,5425,"75,638.25"
PABC-AUG,Reg,25.28,27.46,27.55,27,77.35,+,2.27,3,501,"13,528.01"
PACE,Reg,117.02,115,118.35,115,77.5,+,1.33,26,3698,"427,026.15"
PACE-AUG,Reg,71,70.9,71,70.4,3.31,-,-0.5,75,56620,"4,008,444.19"
PAEL,Reg,3.14,3.18,3.18,3.1,3.35,-,-0.04,67,311745,"977,406.42"
PAEL-AUG,Reg,24.78,24.7,25.25,24.7,25.36,+,0.12,888,1800649,"45,143,408.45"
PAKD,FUT,25.21,25.21,25.6,25.21,25.59,+,0.14,307,2328000,"59,056,800.00"
PAKL,FUT,24.89,24.9,25.39,24.9,88.93,+,0.1,505,2728500,"68,225,430.00"
PAKOXY,Reg,72.95,77.5,77.5,70.31,22.38,+,0.95,15,5595,"399,321.33"
PAKRI,Reg,17.7,18.39,18.39,18.39,88.47,+,0.69,1,25,459.75
PAKRI-AUG,Reg,79.99,79.56,81.9,79.56,11.58,+,1.01,31,9626,"777,936.70"
PAKT,Reg,9.91,9.93,10.08,9.9,11.77,+,0.04,61,232764,"2,319,839.85"
PASL,Reg,1029.93,1050,1050,1012,973.08,-,-17.93,15,364,"375,746.00"
PASM,Reg,2.29,2.34,2.39,2.16,1.17,-,-0.1,1250,13390885,"30,497,214.94"
PCAL,Reg,3.35,2.83,3.5,2.83,6.23,+,0.05,13,1657,"5,491.35"
PECO,Reg,167,0,0,0,141.89,#ERROR!,0,2,13800,"2,323,299.00"
PGLC,Reg,7.31,7.33,7.33,7.31,699.11,#ERROR!,0,5,1000,"7,315.63"
PHDL,Reg,525.3,525.3,535,510,8.32,-,-0.3,27,869,"463,160.39"
PIAHCLA,Reg,12.93,13.22,13.5,13.15,30.69,+,0.28,1927,4374896,"58,250,824.46"
PIAHCLA-AUG,FUT,13.1,13.29,13.71,13.29,19.22,+,0.31,365,1215500,"16,421,790.00"
PIAHCLB,FUT,12.93,13.18,13.55,13.17,19.4,+,0.32,424,1616500,"21,521,530.00"
PIBTL,Reg,6.15,6.17,6.24,6.12,883.73,#ERROR!,0,305,987486,"6,111,588.42"
PIBTL-AUG,FUT,6.25,6.21,6.31,6.21,5.34,+,0.04,106,161500,"1,015,955.00"
PICT,FUT,6.17,6.23,6.25,6.19,5.4,+,0.03,123,284000,"1,763,960.00"
PIL,Reg,39.39,39.12,39.64,39.12,39.31,-,-0.19,40,8772,"346,151.38"
PIM,Reg,1.8,1.89,1.89,1.78,1.5,+,0.01,48,1895943,"3,412,366.62"
PINL,Reg,163.35,163.51,164.99,162.01,10.95,-,-1.34,195,112914,"18,470,508.85"
PIOC,FUT,166,166,167,166,6.43,+,0.25,11,19000,"3,166,350.00"
PIOC-AUG,FUT,163.98,163.2,165.51,163,151.56,-,-0.98,40,34500,"5,665,225.00"
PKGI,Reg,88.01,91.92,91.92,88,154.35,+,0.49,12,2019,"177,693.92"
PKGP,Reg,512.75,519.5,530,485.18,6.99,-,-27.57,103,98391,"51,697,823.51"
PKGS,Reg,2,2.01,2.02,1.85,88,-,-0.03,19,7741,"14,798.83"
PMI,Reg,603.13,565,565,565,501.09,-,-38.13,2,50,"28,250.00"
PMPK,Reg,304.67,303.01,309.9,302,3.83,-,-0.67,46,16484,"5,022,567.65"
PMRS,Reg,488.67,489,490,486.5,494.91,-,-0.78,144,86513,"42,263,840.55"
PNSC,Reg,5.51,5.52,5.64,5.52,506,+,0.01,51,95721,"532,403.90"
POL,FUT,5.55,5.62,5.62,5.55,304.56,#ERROR!,0,14,35000,"194,600.00"
POL-AUG,Reg,10.5,11,11,11,595.94,+,0.5,1,10,110
POML,Reg,116.81,116.97,117.22,116,600.11,-,-0.61,1406,1287696,"150,148,706.55"
POWER,FUT,118.91,119,119,118,108.89,-,-0.91,194,512500,"60,778,335.00"
POWER-AUG,FUT,117.18,117.24,117.4,116.4,4.89,-,-0.78,214,561500,"65,577,400.00"
POWERPS,Reg,76.25,74.85,77.25,74.85,5.14,+,1,3,575,"43,200.75"
PPL,Reg,14.64,14.6,14.9,14.6,10.85,-,-0.04,57,79765,"1,173,889.42"
PPL-AUG,Reg,320.62,300.1,300.1,300.1,112.4,-,-20.52,1,4,"1,200.40"
PPP,Reg,24.12,24.25,24.42,24.05,113.34,-,-0.02,895,1067417,"25,872,403.80"
PPVC,FUT,24.62,24.66,24.85,24.5,83.31,-,-0.07,256,632500,"15,624,710.00"
PREMA,FUT,24.2,24.35,24.5,24.17,8.99,-,-0.03,349,876500,"21,325,065.00"
PRET,Reg,801.2,819.99,819.99,770.1,13.2,+,13.78,5,8,"6,300.91"
PRL,Reg,167.72,167.97,169,167.52,295,+,0.05,570,292199,"49,117,296.73"
PRL-AUG,FUT,170.64,170.51,171.49,170.12,22.83,-,-0.29,127,202000,"34,461,165.00"
PRWM,FUT,168.26,168.5,169.2,167.8,23.06,-,-0.31,142,188000,"31,625,915.00"
PSEL,Reg,13.34,13.4,13.55,13.27,26.5,-,-0.07,108,534592,"7,177,305.74"
PSO,Reg,11.94,12.09,12.1,11.98,769.91,+,0.06,233,327418,"3,939,843.67"
PSO-AUG,FUT,12.18,12.3,12.3,12.2,158.5,+,0.02,23,111500,"1,365,900.00"
PSX,FUT,11.99,12,12.1,12,160.33,+,0.07,96,525000,"6,331,120.00"
PSYL,Reg,37.78,37.99,38.35,37.99,14.44,+,0.42,44,13606,"518,399.52"
PTC,Reg,4.4,4.59,4.59,4.41,34.46,+,0.06,13,2510,"11,209.32"
PTC-AUG,Reg,8,7.86,8.1,7.86,12.57,+,0.1,6,112,896.72
PTL,Reg,80.81,73.55,73.55,73.55,12.74,-,-7.26,1,24,"1,765.20"
QUET,Reg,7625.06,7670,7670,7600,40.76,-,-25.06,5,9,"68,470.00"
QUICE,Reg,14.28,14.25,14.35,14.1,7.14,-,-0.15,25,164049,"2,345,073.88"
RCML,Reg,9.28,8.55,8.8,8.28,7.03,-,-1,107,137421,"1,138,520.30"
REDCO,Reg,16.67,16.52,16.7,16.5,467.48,+,0.01,7,7300,"120,616.07"
REWM,Reg,10.92,10.62,11.3,10.5,8,+,0.38,12,37501,380595
RMPL,Reg,2.74,2.55,3.74,2.55,74.83,+,1,75,69785,"250,598.31"
RPL,Reg,39,42.45,42.45,36,7402.49,+,1,15,1001,"36,673.00"
RUBY,Reg,820.34,835,863.99,833,18.9,+,22.66,4220,1022741,"870,073,157.77"
RUPL,FUT,833.83,845,874,844,8.16,+,24.17,729,600500,"518,801,165.00"
SAIF,FUT,823.11,830.02,865,830.02,19.7,+,23.39,907,767500,"653,933,410.00"
SANE,Reg,11.91,11.02,11.02,11.02,11.57,-,-0.89,7,1952,"21,912.64"
SARC,Reg,61.7,63,63,62.8,16.53,+,1.29,8,1090,"68,638.95"
SASML,Reg,273.93,297.99,297.99,270,34,+,2.07,4,400,"111,899.00"
SAZEW,Reg,58.01,58,58.3,57.4,36.52,-,-0.56,1440,1256932,"72,439,414.14"
SAZEW-AUG,FUT,58.98,59,59,58.26,1085.39,-,-0.63,682,2553000,"149,693,085.00"
SAZEW-SEP,FUT,58.07,58,58.2,57.5,1096.16,-,-0.47,749,2589500,"149,734,750.00"
SBL,Reg,11.04,10.86,10.86,10.86,1106.18,-,-0.18,1,409,"4,441.74"
SCBPL,Reg,134.26,134,134,132,12.7,-,-2.26,19,2798,"371,429.05"
SCL,Reg,10.63,11.63,11.63,11.63,59.21,+,1,10,13207,153597.41
SEARL,Reg,1479.98,1360.55,1400,1360.55,242.98,-,-79.98,2,8,1.10E+04
SEARL-AUG,Reg,77.11,77.11,77.3,77,56.84,-,-0.11,39,48600,3743719.82
SEPL,Reg,9.6,10.47,10.47,9.7,57.4,+,0.7,58,50226,510331.4
SERT,Reg,134.26,135,135.93,133.13,138.61,+,0.77,180,71578,9690025.07
SGF,FUT,136.77,137.1,137.94,137,12.15,+,0.23,27,139000,19093825
SGPL,FUT,134.93,134.9,136,134.9,69.18,+,0.08,45,150000,2.03E+07
SHCM,Reg,94,94,94,93.8,11.5,#ERROR!,0,10,1110,104228.4
SHDT,Reg,141.42,144.88,144.88,142,38.72,+,0.58,8,10111,1452379.08
SHEL,Reg,4.36,4.8,4.8,4.3,14.4,+,0.19,15,6407,28595.87
SHEL-AUG,Reg,4.93,4.98,4.98,4.94,142.26,+,0.05,5,81,402.31
SHEZ,Reg,522.8,521,525,520,144.4,-,-2.8,26,1728,898503
SHFA,Reg,0.95,0.97,0.97,0.95,87,#ERROR!,0,116,721962,691175.02
SHJS,Reg,10.55,10.85,10.85,10.85,133.98,+,0.3,1,10,108.5
SHNI,Reg,344.73,354,354,313.7,90.1,-,-5.83,29,1087,349400.77
SHSML,Reg,8.77,8.88,8.88,8.88,4.44,+,0.11,1,1,8.88
SIBL,Reg,8.62,8.6,8.78,8.6,386.33,+,0.13,9,3286,28752.35
SIEM,Reg,2.15,2.88,2.88,2.16,4.28,+,0.33,6,801,1864.88
SILK,Reg,2.97,0,0,0,459.56,#ERROR!,0,1,1,2.71
SILK-AUG,Reg,19.38,18.99,19.19,18.99,0.94,-,-0.38,8,6461,122777
SINDM,Reg,24,25.63,25.64,25.63,0.94,+,1.64,3,1001,25665.63
SITC,Reg,11.71,11.6,11.8,11.6,10.9,+,0.04,111,140142,1643681.78
SKRS,FUT,11.72,11.71,11.75,11.71,282.32,+,0.03,4,2000,23460
SLGL,Reg,64.29,64.99,65.25,64.01,8.17,+,0.01,539,507529,32867959.78
SLL,FUT,65.5,65.77,66.25,65,8.86,-,-0.01,80,168500,11060115
SLYT,FUT,64.39,64.95,65.2,64.11,2.52,+,0.01,142,262000,1.70E+07
SMCPL,Reg,15.1,15.39,15.39,15.2,6.91,+,0.1,2,1001,15215.39
SNAI,Reg,13.62,13.17,13.5,13.17,21.07,-,-0.22,14,15510,2.08E+05
SNBL,Reg,18.64,18.62,18.84,18.1,26.92,-,-0.14,279,255234,4734976.84
SNBL-AUG,Reg,958.14,940.28,968.5,940.28,15.12,-,-6.59,12,422,401608.21
SNGP,Reg,9.64,9.65,9.8,9.63,15.27,+,0.02,93,166528,1.61E+06
SNGP-AUGB,FUT,9.9,9.78,9.78,9.78,65.32,-,-0.12,1,500,4890
SPEL,FUT,9.7,9.7,9.7,9.61,65.95,-,-0.09,18,41000,394835
SPL,Reg,75.74,81.99,82.56,80,53.39,+,6.82,104,25302,2074812.56
SPWL,Reg,14.12,14.44,14.44,13.81,12.39,-,-0.27,6,1244,17502.94
SRVI,Reg,80,78.2,79.2,78,18.79,-,-2,8,1100,85901.4
SSGC,Reg,5.57,5.6,5.95,5.49,965.01,+,0.13,568,2878994,16187600.53
SSGC-AUG,Reg,49.05,49.5,51.5,49.5,8.51,+,2.45,3,30,1487
SSML,Reg,86.99,87.5,87.5,87.5,8.6,+,0.51,1,1,87.5
SSOM,Reg,5.08,5.12,5.19,5.05,6.93,+,0.05,180,365544,1879357.22
STCL,Reg,421.51,420.16,426.25,420.15,70.9,+,2.49,419,111447,47264224.66
STPL,FUT,429.92,0,0,0,13.49,#ERROR!,0,1,1000,434000
STYLERS,FUT,422.11,422.02,426.25,422.02,5.66,+,0.9,7,5000,2124155
SURC,Reg,59.95,60,60,59.6,42.5,-,-0.35,4,600,35780.5
SUTM,Reg,19.77,19.8,20.17,19.75,118.61,+,0.08,161,94572,1889942.38
SYM,Reg,12.57,12.6,12.6,12.6,80.3,+,0.03,1,4,50.4
SYM-AUG,Reg,7.61,7.69,7.74,7.56,4.89,-,-0.02,363,436416,3341645.37
SYS,FUT,7.7,7.36,7.8,7.36,4.98,+,0.01,20,265000,2064975
TATM,FUT,7.7,7.7,7.73,7.6,428.33,-,-0.09,102,401000,3086390
TBL,Reg,117.25,116.15,120,116.15,58.49,+,1.35,310,86095,10223059.04
TCORP,FUT,119,113.03,119.6,113.03,18.54,+,0.6,11,5500,631980
TCORPCPS,FUT,118.15,111.23,119,111.23,12.4,+,0.85,20,11500,1331235
TELE,Reg,463.45,460.03,469.01,460.03,10.07,+,5.56,2,37,17308.47
TELE-AUG,Reg,34.15,34.49,34.89,33.7,8.39,+,0.03,67,64544,2202283.96
TGL,Reg,37.42,37.1,37.59,36.7,8.51,-,-0.71,820,752022,27885077.15
TGL-AUG,FUT,38.21,38,38.19,37.4,112.81,-,-0.81,118,322500,12243435
THALL,FUT,37.71,37.5,37.73,37,114,-,-0.61,142,386000,14414425
THCCL,Reg,141.34,140.5,141,140.5,390.83,-,-0.79,7,487,68436.67
TOMCL,Reg,4.95,5,5,4.93,58.4,-,-0.02,25,106760,529073.82
TOMCL-AUG,Reg,8.99,9,9.25,8.93,42.85,-,-0.04,452,685889,6170773.62
TOWL,FUT,9.11,9.16,9.18,9.1,43.25,+,0.04,36,441000,4030030
TPL,FUT,9.01,9.05,9.05,8.97,131.92,#ERROR!,0,173,618500,5555835
TPLI,Reg,15.22,14.02,15.72,14.02,4.13,+,0.5,2,2,2.97E+01
TPLP,Reg,5.99,5.97,6.02,5.97,10.65,+,0.01,22,183747,1100845.27
TPLP-AUG,Reg,15.58,15.56,15.96,15.51,8.13,-,-0.06,605,791205,12337168.5
TPLRF1,FUT,15.9,15.96,15.96,15.76,8.2,-,-0.14,225,412000,6528190
TPLT,FUT,15.62,15.59,15.72,15.54,14.2,-,-0.07,339,684500,10683950
TREET,Reg,62.92,63.2,63.7,62.31,7.5,+,0.07,793,1649137,103836044.3
TREET-AUG,FUT,64.44,64,64.7,63.9,15.24,-,-0.44,313,1477000,95216935
TRG,FUT,63.13,62.95,63.99,62.91,15.38,-,-0.07,448,2678000,170211755
TRG-AUG,Reg,112.2,111.12,116,111.12,53.65,+,3.8,2,3,338.24
TRIPF,Reg,11.56,10.52,12,10.52,54.27,+,0.44,11,15203,180788
TRSM,Reg,4.6,4.4,4.4,4.4,109,-,-0.2,1,50,220
TSMF,Reg,69.85,67.1,67.1,65,2.7,-,-4.85,2,21,1394.4
TSML,Reg,9.72,9.61,9.61,9.46,6.57,-,-0.14,6,37505,358093.05
TSPL,Reg,11.5,11.23,11.23,11.05,92.05,-,-0.45,7,3000,33346.12
UBDL,Reg,257.58,258.95,259.8,257.65,7.55,+,0.42,400,162360,41995189.83
UBL,FUT,262.45,263.97,264,263.36,15.68,+,0.91,10,8000,2108555
UBL-AUGB,FUT,258.5,260,260.5,259.01,249.32,+,0.96,9,4500,1168685
UBLPETF,Reg,19.12,19.15,19.15,19.15,255,+,0.03,3,7500,143625
UCAPM,Reg,1.81,1.97,1.99,1.83,17.4,+,0.17,19,1036,2053.3
UDLI,Reg,12.8,12.95,12.99,12.8,2.55,+,0.19,12,8792,113951.65
UNIC,Reg,29.4,29.4,29.89,29,8.47,-,-0.16,1828,3990869,117645054.7
UNITY,FUT,29.96,30.48,30.48,29.59,12.73,-,-0.26,939,2664500,79915225
UNITY-AUG,FUT,29.44,29.7,29.9,29.11,29.02,-,-0.09,674,1481000,43683205
UPFL,Reg,18300,18399.99,18399.99,18340,29.36,+,50,4,9,165149.99
UVIC,Reg,7.29,8,8.19,6.3,17601,-,-0.99,18,33500,232962
WAHN,Reg,7.17,7.21,7.35,7.21,9.06,+,0.05,387,129411,940201.86
WAVES,Reg,16.69,17,17.2,16.41,231.85,-,-0.28,116,123615,2061014.79
WAVES-AUG,FUT,7.31,7.35,7.45,7.35,6.32,+,0.07,114,1086500,8010790
WAVESAPP,FUT,7.15,7.2,7.35,7.2,6.4,+,0.15,123,1091500,7918625
WTL,Reg,1.28,1.3,1.3,1.27,7.58,#ERROR!,0,395,7118385,9072808.6
WTL-AUG,FUT,1.3,1.3,1.31,1.3,1.23,#ERROR!,0,79,6512000,8480685
YOUW,FUT,1.28,1.28,1.29,1.27,1.25,#ERROR!,0,154,12457000,15945350
YOUW-AUG,Reg,3.37,3.36,3.44,3.3,6.49,-,-0.02,130,326372,1088304.33
ZAHID,Reg,30,30,30,30,6.57,#ERROR!,0,2,154,4.62E+03
ZIL,FUT,37,37,37.15,36.62,29.7,-,-0.38,36,519500,19062540
ZTL,FUT,35.83,36.11,36.85,35.51,268.32,+,0.58,743,1274500,46150695
TOWL,Reg,142.7,142.99,142.99,142,13,-,-0.09,24,2388,340277.08
TPL,Reg,5.17,5.27,5.27,5.03,5.04,-,-0.13,131,384728,1951512.05
TPLI,Reg,14.26,0,0,0,14.26,#ERROR!,0,1,150,2128.5
TPLP,Reg,9.75,9.75,9.8,9.44,9.49,-,-0.26,949,1644048,15676265.29
TPLP-JUN,FUT,9.8,9.65,9.75,9.5,9.53,-,-0.27,144,237500,2273430
TPLRF1,Reg,15.61,15.05,15.84,15.05,15.79,+,0.18,16,5092,80395.5
TPLT,Reg,6.15,6.14,6.24,6,6.02,-,-0.13,78,96668,587613.16
TREET,Reg,16.02,15.97,16.1,15.8,15.86,-,-0.16,877,810414,12927605.43
TREET-JUL,FUT,16.41,16.01,16.2,16.01,16.2,-,-0.21,13,18000,290500
TREET-JUN,FUT,16.08,16.01,16.15,15.75,15.9,-,-0.18,131,190500,3042165
TRG,Reg,64.48,64.52,65.1,63.7,63.82,-,-0.66,1473,1239750,79702936.55
TRG-JUL,FUT,65.65,66.65,66.65,65.01,65.01,-,-0.64,14,27500,1807235
TRG-JUN,FUT,64.84,65,65.4,64,64.19,-,-0.65,527,681500,44025140
TRIPF,Reg,113.5,112.12,117.4,112.12,115.39,+,1.89,24,9731,1110045.11
TSBL,Reg,11.5,11.5,11.5,11.5,11.5,#ERROR!,0,3,430,4945
TSMF,Reg,4.6,3.73,5.33,3.73,4.6,#ERROR!,0,6,25,126.1
TSML,Reg,69.85,66,66,66,69.85,#ERROR!,0,1,10,660
TSPL,Reg,9.53,10,10,8.75,9.95,+,0.42,36,52835,481297.16
UBDL,Reg,11.85,12,12,11.75,11.75,-,-0.1,6,2037,24304.75
UBL,Reg,260.19,270,282.03,260.55,265.65,+,5.46,2803,2106556,5.71E+08
UBL-JUL,FUT,262.01,265,277,265,270.54,+,8.53,125,213000,58405170
UBL-JUNB,FUT,256.6,268,273.5,262,265.86,+,9.26,252,242000,65385055
UBLPETF,Reg,18.74,19.07,19.17,18.84,18.98,+,0.24,6,6000,113850
UCAPM,Reg,1.93,1.99,2.05,1.85,2.02,+,0.09,43,34246,68156.47
UNIC,Reg,12.86,12.98,12.98,12.8,12.84,-,-0.02,49,82883,1065477.76
UNITY,Reg,27.01,27,27.34,26.96,27.27,+,0.26,1005,5043256,1.37E+08
UNITY-JUNB,FUT,27.14,28.99,28.99,27.01,27.37,+,0.23,299,820500,22461000
UPFL,Reg,18181.56,18182,18399.93,18000,18199.06,+,17.5,28,114,2071613.28
UVIC,Reg,5.88,6.25,6.48,5.22,6.32,+,0.44,34,36957,210386.72
WAHN,Reg,202.69,204,208.98,195.5,202.44,-,-0.25,47,731,147886.11
WAVES,Reg,7.51,7.55,7.62,7.41,7.45,-,-0.06,576,1647634,12332581.67
